DCS-ID,SC-ID,BOARD,SLOT,SYSTEM,NAME,CAL-ID,W-CABLE,FLANGE,CHAN,X,Y,Z,COMMENT,COMMENT2
47890261082394,TE0001,1,1,TGRAD,TGRAD1,39666,1.1,14.4.1,1,1514,7385,861,,
47890277859610,TE0002,1,1,TGRAD,TGRAD2,39665,1.1,14.4.1,2,1514,7267,861,,
47890294636826,TE0003,1,1,TGRAD,TGRAD3,39664,1.1,14.4.1,3,1514,7149,861,,
47890311414042,TE0004,1,1,TGRAD,TGRAD4,39667,1.1,14.4.1,4,1514,7031,861,,
47890328191258,TE0005,1,1,TGRAD,TGRAD5,39661,1.1,14.4.1,5,1514,6913,861,,
47890344968474,TE0006,1,1,TGRAD,TGRAD6,39660,1.1,14.4.1,6,1514,6795,861,,
47890361745690,TE0007,1,2,TGRAD,TGRAD7,39655,1.2,14.4.2,1,1514,6677,861,,
47890378522906,TE0008,1,2,TGRAD,TGRAD8,39654,1.2,14.4.2,2,1514,6559,861,,
47890395300122,TE0009,1,2,TGRAD,TGRAD9,39653,1.2,14.4.2,3,1514,6441,861,,
47890412077338,TE0010,1,2,TGRAD,TGRAD10,39652,1.2,14.4.2,4,1514,6323,861,,
47890428854554,TE0011,1,2,TGRAD,TGRAD11,99999,1.2,14.4.2,5,1514,6205,861,,
47890445631770,TE0012,1,2,TGRAD,TGRAD12,39651,1.2,14.4.2,6,1514,6087,861,,
47890462408986,TE0013,1,3,TGRAD,TGRAD13,39650,1.3,14.4.3,1,1514,5969,861,,
47890479186202,TE0014,1,3,TGRAD,TGRAD14,40526,1.3,14.4.3,2,1514,5851,861,,
47890495963418,TE0015,1,3,TGRAD,TGRAD15,40525,1.3,14.4.3,3,1514,5733,861,,
47890512740634,TE0016,1,3,TGRAD,TGRAD16,40524,1.3,14.4.3,4,1514,5615,861,,
47890529517850,TE0017,1,3,TGRAD,TGRAD17,39659,1.3,14.4.3,5,1514,5497,861,,
47890546295066,TE0018,1,3,TGRAD,TGRAD18,39658,1.3,14.4.3,6,1514,5379,861,,
47890563072282,TE0019,1,4,TGRAD,TGRAD19,39657,1.4,14.4.4,1,1514,5143,861,,
47890579849498,TE0020,1,4,TGRAD,TGRAD20,39649,1.4,14.4.4,2,1514,4907,861,,
47890596626714,TE0021,1,4,TGRAD,TGRAD21,39648,1.4,14.4.4,3,1514,4671,861,,
47890613403930,TE0022,1,4,TGRAD,TGRAD22,39647,1.4,14.4.4,4,1514,4435,861,,
47890630181146,TE0023,1,4,TGRAD,TGRAD23,39646,1.4,14.4.4,5,1514,4199,861,,
47890646958362,TE0024,1,4,TGRAD,TGRAD24,39644,1.4,14.4.4,6,1514,3963,861,,
