Configuration,Start,End
baseline,2024-03-01 0:00:00,2024-05-01 8:24:00
switched,2024-05-01 9:43:00,2024-05-01 10:56:00
precision,2024-05-01 11:32:00,2024-05-02 8:21:00
pumps,2024-05-02 8:37:00,2024-05-02 8:55:00
pipes,2024-05-02 9:27:00,2024-05-02 13:11:00
final,2024-05-02 13:12:00,2024-05-30 10:03:00
baseline,2024-05-30 10:04:00,2024-09-18 10:40:00
apa,2024-09-19 18:51:00,2024-09-20 12:52:00
baseline,2024-09-20 14:50:00,2024-10-11 15:50:00
october,2024-10-11 16:05:00,2024-12-03 11:45:00
empty,2024-12-03 12:02:00,2025-01-01 0:00:00
