Date,ExactTime,StartTime,EndTime,Level,Configuration,Status,Action,Comments
04/30/2024,X,12:20,13:25,7698,BASELINE,ACTIVE,HV,Ramping down Heizinger HV (Francesco Pietropaolo)
04/30/2024,13:45,X,X,7698,BASELINE,ACTIVE,CRYO,Condenser is OFF (Filippo)
04/30/2024,13:45,X,X,7968,BASELINE,ACTIVE,CRYO,Filling completed
04/30/2024,13:58,X,X,7698,BASELINE,ACTIVE,CE,TPC ELECTRONICS OFF (Roger Huang)
04/30/2024,X,11:00,15:49,7968,BASELINE,ACTIVE,PDS,DAPHNE ON with NO BIAS voltage: P = 0.132 A*V
04/30/2024,14:18,X,X,7968,BASELINE,ACTIVE,IOL,Open the shutter (David Rivera)
04/30/2024,X,14:20,14:26,7968,BASELINE,ACTIVE,IOL,Shine a weak green laser (CLASS 2) through the periscope into the detector
04/30/2024,14:26,X,X,7968,BASELINE,ACTIVE,IOL,Shutter is closed (David Rivera)
04/30/2024,X,13:50,14:50,7698,BASELINE,ACTIVE,IOL,LEDs to see periscope are ON and cameras ON
04/30/2024,14:35,X,X,7698,BASELINE,ACTIVE,IOL,Lowering periscope just a bit slow to make sure that the mechanical portion on the feedthrough clears
04/30/2024,14:46,X,X,7698,BASELINE,ACTIVE,CRYO,Filippo sends email about cryostat being completely filled
04/30/2024,X,14:50,15:30,7698,BASELINE,ACTIVE,PDS,Taking a PDS run (Laura Pérez-Molina): BIAS on
04/30/2024,X,15:31,15:36,7698,BASELINE,ACTIVE,PRM,Taking a PrM run (Wenjie Wu)
04/30/2024,15:35,X,X,7960,BASELINE,ACTIVE,CRYO,Liquid level went below 7968. From now on: 7960
04/30/2024,15:49,X,X,7960,BASELINE,ACTIVE,PDS,DAPHNE is turned OFF (Manuel Arroyave)
04/30/2024,16:23,X,X,7960,BASELINE,ACTIVE,CRYO,Cameras and LEDs OFF (Anselmo Cervera)
04/30/2024,17:02,X,X,7960,BASELINE,ACTIVE,CRYO,Liquid level is continuously decreasing as GA on poisiton 9 is increasing in temperature
04/30/2024,18:03,X,X,7960,BASELINE,ACTIVE,OTHER,Stopped Running Jordi App
04/30/2024,X,18:20,18:22,7960,BASELINE,ACTIVE,PRM,Purity Monitor run (Wenjie)
04/30/2024,18:43,X,X,7960,BASELINE,ACTIVE,CRYO,Turn off camera heaters
04/30/2024,18:45,X,X,7960,BASELINE,ACTIVE,CRYO,"At this point, every system was off. Full quieteness."
04/30/2024,X,18:45,8:23,7960,BASELINE,ACTIVE,OTHER,POFF with BASELINE configuration: all night long
04/30/2024,20:27,X,X,7960,BASELINE,ACTIVE,OTHER,Temperature of GA position 9 has increased up to 91K indicating the level has decreased significantly
05/01/2024,7:25,X,X,7960,BASELINE,ACTIVE,OTHER,Temperature of GA position 9 has increased up to 95K indicating the level has decreased significantly during the night
05/01/2024,X,8:24,9:43,7960,BASELINE,INACTIVE,SWAP,Changing the connectors to SWITCHED configuration
05/01/2024,X,9:45,10:55,7960,SWITCHED,ACTIVE,OTHER,POFF with SWITCHED configuration
05/01/2024,X,10:51,10:54,7960,SWITCHED,ACTIVE,PRM,Purity Monitor run (Wenjie)
05/01/2024,X,10:56,11:32,7960,SWITCHED,INACTIVE,SWAP,Changing the connectors to PRECISION configuration
05/01/2024,X,11:33,12:01,7960,PRECISION,ACTIVE,OTHER,POFF with PRECISION configuration
05/01/2024,X,12:01,13:01,7960,PRECISION,ACTIVE,PDS,DAPHNE is turned ON - NO bias voltage (Anselmo Cervera)
05/01/2024,X,13:01,14:00,7960,PRECISION,ACTIVE,CRYO,Cameras & camera heaters are turned ON (Anselmo Cervera)
05/01/2024,X,14:01,14:59,7960,PRECISION,ACTIVE,OTHER,POFF with PRECISION configuration
05/01/2024,X,15:03,17:05,7960,PRECISION,ACTIVE,CE,LOWER CE ON (Roger Huang)
05/01/2024,X,17:05,19:05,7960,PRECISION,ACTIVE,CE,LOWER CE OFF & UPPER CE ON (Roger Huang)
05/01/2024,X,19:05,21:50,7960,PRECISION,ACTIVE,OTHER,POFF with PRECISION configuration
05/01/2024,X,21:51,22:20,7960,PRECISION,ACTIVE,PDS,DAPHNE is turned ON - NO bias voltage (Anselmo Cervera)
05/01/2024,X,22:28,23:04,7960,PRECISION,ACTIVE,CRYO,Cameras & camera heaters are turned ON (Anselmo Cervera)
05/01/2024,X,23:05,8:15,7960,PRECISION,ACTIVE,OTHER,POFF with PRECISION configuration: all night long
05/02/2024,8:15,X,X,7960,PRECISION,ACTIVE,CRYO,Cameras & camera heaters are turned ON (Xavier Pons)
05/02/2024,X,8:21,8:37,7960,PRECISION,INACTIVE,SWAP,Changing the connectors to PUMPS configuration
05/02/2024,X,8:41,8:46,7960,PUMPS,ACTIVE,PRM,Purity Monitor run (Wenjie)
05/02/2024,X,8:55,9:27,7960,PUMPS,INACTIVE,SWAP,Changing the connectors to PIPES configuration
05/02/2024,9:30,X,X,7960,PIPES,ACTIVE,PDS,DAPHNE is turned ON - NO bias voltage (Anselmo Cervera)
05/02/2024,X,9:33,12:11,7698,PIPES,ACTIVE,PDS,Taking a PDS run (Laura Pérez-Molina): BIAS on
05/02/2024,X,9:33,10:09,7698,PIPES,ACTIVE,PDS,Taking a PDS run (Laura Pérez-Molina): 107 is OVER
05/02/2024,10:08,X,X,7960,PIPES,ACTIVE,CE,ALL CE ON (Roger Huang)
05/02/2024,X,9:33,10:41,7698,PIPES,ACTIVE,PDS,Taking a PDS run (Laura Pérez-Molina): 104 and 105 are OVER
05/02/2024,13:11,X,X,7960,PIPES,INACTIVE,SWAP,Changed the connectors to FINAL configuration (Xavier Pons)
05/03/2024,X,9:01,9:06,7960,FINAL,ACTIVE,PRM,Purity Monitor run (Wenjie)
