DCS-ID;SC-ID;SYSTEM;CAL-ID;OFF;OFF_TREE;POFF;X;Y;Z;
47890948948250;TE0042;TGRAD;39655;-0.0091;0.015;-0.000393031;;1.013;;
47890932171034;TE0041;TGRAD;39654;-0.0123;0.0119;0;;1.131;;
47890915393818;TE0040;TGRAD;39653;-0.0364;-0.0122;-0.0302617;;1.249;;
47890898616602;TE0039;TGRAD;39652;-0.0211;0.00312;-0.0237818;;1.367;;
47890881839386;TE0038;TGRAD;39651;0.0322;0.05653;0.0389756;;1.485;;
47890865062170;TE0037;TGRAD;39650;0.0064;0.0307;0.011047;;1.603;;
47890848284954;TE0036;TGRAD;40526;0.018;0.0443;0.028239;;1.721;;
47890831507738;TE0035;TGRAD;40525;0.0337;0.06;0.0530281;;1.839;;
47890814730522;TE0034;TGRAD;40524;0.0025;0.0288;0.0241911;;1.957;;
47890797953306;TE0033;TGRAD;39659;-0.027;0.003;-0.0078376;;2.075;;
47890781176090;TE0032;TGRAD;39658;-0.0132;0.01677;0.00480473;;2.193;;
47890764398874;TE0031;TGRAD;39657;-0.0023;0.0277;0.0164264;;2.311;;
47890747621658;TE0030;TGRAD;39649;-0.0103;0.0163;0.00709593;;2.547;;
47890730844442;TE0029;TGRAD;39648;-0.0189;0.0077;-0.00347034;;2.783;;
47890714067226;TE0028;TGRAD;39647;-0.0371;-0.0105;-0.0227027;;3.019;;
47890697290010;TE0027;TGRAD;39646;-0.0177;0.0081;-0.00350803;;3.255;;
47890680512794;TE0026;TGRAD;99998;0;0;0;;3.491;;
47890663735578;TE0025;TGRAD;39644;-0.0223;0.0036;-0.00817197;;3.727;;
47890646958362;TE0024;TGRAD;39630;-0.0233;0.0012;-0.0117632;;3.963;;
47890630181146;TE0023;TGRAD;39629; 0.0284;0.0529;0.0374379;;4.199;;
47890613403930;TE0022;TGRAD;39628;-0.0091;0.0154;-0.00089569;;4.435;;
47890596626714;TE0021;TGRAD;39627; 0.0183;0.0456;0.0285607;;4.671;;
47890579849498;TE0020;TGRAD;39626; 0.0246;0.0518;0.0347961;;4.907;;
47890563072282;TE0019;TGRAD;39625; 0.0007;0.028;-0.000691863;;5.143;;
47890546295066;TE0018;TGRAD;39624;-0.0264;0.0007;-0.0180258;;5.379;;
47890529517850;TE0017;TGRAD;39623;-0.0002;0.0269;0.0049296;;5.497;;
47890512740634;TE0016;TGRAD;39622;-0.0045;0.0226;-0.0177358;;5.615;;
47890495963418;TE0015;TGRAD;39621;0.0312;0.0578;0.037042;;5.733;;
